label,mean_intensity_nucleoplasm,area_nucleoplasm,mean_intensity_membrane,area_membrane,ratio,filename,localization
12,79.70082501085541,2303.0,87.52501667778519,1499.0,0.9106062247810386,27985_284_E10_2.tif,nucleoplasm
2,54.82170542635659,129.0,63.45504300234558,1279.0,0.8639456035721248,36268_404_B8_2.tif,nucleoplasm
6,59.28735632183908,261.0,81.84109691960931,2662.0,0.7244203530174543,36268_404_B8_2.tif,nucleoplasm
8,64.06060606060606,627.0,68.39037974683545,1975.0,0.9366903107972618,36268_404_B8_2.tif,nucleoplasm
10,98.19577889447237,9950.0,83.49101796407186,7849.0,1.1761238668419196,36268_404_B8_2.tif,membrane
11,95.89415699390123,5083.0,84.79366700715015,3916.0,1.1309117812514824,36268_404_B8_2.tif,membrane
15,67.81843211128822,20703.0,96.68054504163513,6605.0,0.7014692778374642,36268_404_B8_2.tif,nucleoplasm
16,101.34177215189874,474.0,108.25808823529412,2720.0,0.9361127081021136,36268_404_B8_2.tif,nucleoplasm
18,87.33270179987036,20057.0,115.18853503184714,5495.0,0.7581718247890274,36268_404_B8_2.tif,nucleoplasm
19,82.18968972427614,14471.0,95.04719283970708,3687.0,0.864725062031926,36268_404_B8_2.tif,nucleoplasm
20,85.74554258594151,31184.0,159.76060472625863,6813.0,0.5367126816580469,36268_404_B8_2.tif,nucleoplasm
21,58.856340149452585,17263.0,97.43205910697077,6226.0,0.6040757086415893,36268_404_B8_2.tif,nucleoplasm
23,92.48073234524847,5735.0,128.70382937469705,2063.0,0.718554628829327,36268_404_B8_2.tif,nucleoplasm
24,50.67366201425846,19918.0,78.38854595336076,5832.0,0.646442173380892,36268_404_B8_2.tif,nucleoplasm
26,25.528761061946902,452.0,45.387962962962966,1080.0,0.5624566381791275,36268_404_B8_2.tif,nucleoplasm
29,102.92634139748614,22197.0,118.69988978113683,6351.0,0.8671140435535827,36268_404_B8_2.tif,nucleoplasm
30,62.98692573088796,44056.0,139.37009345794394,8560.0,0.45194004085169664,36268_404_B8_2.tif,nucleoplasm
31,78.36804828973843,37275.0,102.11838153943417,6327.0,0.7674235246225061,36268_404_B8_2.tif,nucleoplasm
32,52.607054608351866,16188.0,117.02864224731479,3631.0,0.449522899677655,36268_404_B8_2.tif,nucleoplasm
1,115.58081938122058,12961.0,153.89469065379552,4558.0,0.7510383814424985,36268_407_B8_1.tif,nucleoplasm
2,82.87677538655231,25417.0,100.92747804265997,7970.0,0.821151751671849,36268_407_B8_1.tif,nucleoplasm
3,73.00735630431468,26236.0,98.52050940322819,6753.0,0.7410371378157173,36268_407_B8_1.tif,nucleoplasm
4,79.80152078819346,24461.0,87.91216584833606,7332.0,0.9077414942303333,36268_407_B8_1.tif,nucleoplasm
5,84.26928867143396,15942.0,93.40780619111709,5944.0,0.9021653768317257,36268_407_B8_1.tif,nucleoplasm
6,72.98449131513648,22568.0,101.10285033055165,9227.0,0.7218836172918633,36268_407_B8_1.tif,nucleoplasm
7,53.02166637916164,28985.0,62.36160397444996,5636.0,0.8502293558851538,36268_407_B8_1.tif,nucleoplasm
8,79.94152744630071,17598.0,81.57919958554591,7721.0,0.9799253713254701,36268_407_B8_1.tif,nucleoplasm
9,80.43504750103263,38736.0,105.58267020335985,7917.0,0.7618205463653165,36268_407_B8_1.tif,nucleoplasm
10,58.781598513011154,53800.0,106.61195804951886,9249.0,0.5513602750425841,36268_407_B8_1.tif,nucleoplasm
11,88.2526541445488,19592.0,80.54572127139365,6135.0,1.0956839513198613,36268_407_B8_1.tif,membrane
12,52.82932982340682,18234.0,60.56295867130166,5178.0,0.8723043091426858,36268_407_B8_1.tif,nucleoplasm
15,71.6359500805153,24840.0,59.76571579503434,7572.0,1.1986127686680732,36268_407_B8_1.tif,membrane
18,70.78188844518871,38815.0,84.16191415885545,10135.0,0.8410204206095887,36268_407_B8_1.tif,nucleoplasm
21,69.50310012568077,23870.0,57.377446102819235,6030.0,1.2113313653091602,36268_407_B8_1.tif,membrane
1,152.0203156572552,18311.0,141.1017288900025,3991.0,1.077380956655495,37367_517_E4_2.tif,membrane
2,158.91231130493122,29810.0,149.4077466631772,7642.0,1.0636149386763794,37367_517_E4_2.tif,membrane
3,127.79708595439966,40219.0,111.07669915200607,7901.0,1.1505301015428275,37367_517_E4_2.tif,membrane
4,164.5458286321099,60268.0,156.43979667478555,9443.0,1.0518156641060814,37367_517_E4_2.tif,membrane
5,140.1776642924338,29764.0,115.10128770201365,11571.0,1.2178635625288616,37367_517_E4_2.tif,membrane
8,123.88369049566498,6113.0,93.77979479084452,2534.0,1.3210062015166557,37367_517_E4_2.tif,membrane
9,152.55560195297443,31132.0,141.62989619377163,7225.0,1.0771426517481504,37367_517_E4_2.tif,membrane
10,160.70473980354134,31457.0,138.75941710200715,7274.0,1.1581537538846922,37367_517_E4_2.tif,membrane
11,117.40347982888603,52129.0,97.00588550026752,9345.0,1.2102717193232801,37367_517_E4_2.tif,membrane
12,146.8531192236599,43280.0,121.59282402741383,9922.0,1.2077449503973277,37367_517_E4_2.tif,membrane
13,118.43835303878863,48210.0,100.11758334336263,8309.0,1.1829925282214735,37367_517_E4_2.tif,membrane
14,151.08664004448264,39566.0,135.15089163237312,8019.0,1.117910790077928,37367_517_E4_2.tif,membrane
15,123.20080046152736,27734.0,79.5542472666106,4756.0,1.548638880946781,37367_517_E4_2.tif,membrane
16,118.430838903525,45929.0,95.62127554789461,8122.0,1.238540672302636,37367_517_E4_2.tif,membrane
17,131.6787124355589,39765.0,93.61075036075036,8316.0,1.4066622896206362,37367_517_E4_2.tif,membrane
